ENGLISH,日本語
Afghanistan,アフガニスタン
Angola,アンゴラ
Albania,アルバニア
United Arab Emirates,アラブ首長国連邦
Argentina,アルゼンチン
Armenia,アルメニア
Antarctica,南極
Fr. S. Antarctic Lands,フランス領南方・南極地域
Australia,オーストラリア
Austria,オーストリア
Azerbaijan,アゼルバイジャン
Burundi,ブルンジ
Belgium,ベルギー
Benin,ベナン
Burkina Faso,ブルキナファソ
Bangladesh,バングラデシュ
Bulgaria,ブルガリア
Bahamas,バハマ
Bosnia and Herz.,ボスニア・ヘルツェゴヴィナ
Belarus,ベラルーシ
Belize,ベリース
Bolivia,ボリビア
Brazil,ブラジル
Brunei,ブルネイ
Bhutan,ブータン
Botswana,ボツワナ
Central African Rep.,中央アフリカ共和国
Canada,カナダ
Switzerland,スウェーデン
Chile,チリ
China,中国
Côte d'Ivoire,コートジボワール
Cameroon,カメルーン
Dem. Rep. Congo,コンゴ民主共和国
Congo,コンゴ
Colombia,コロンビア
Costa Rica,コスタリカ
Cuba,キューバ
N. Cyprus,北キプロス
Cyprus,キプロス
Czechia,チェコ
Germany,ドイツ
Djibouti,ジブチ
Denmark,デンマーク
Dominican Rep.,ドミニカ共和国
Algeria,アルジェリア
Ecuador,エクアドル
Egypt,エジプト
Eritrea,エリトリア
Spain,スペイン
Estonia,エストニア
Ethiopia,エチオピア
Finland,フィンランド
Fiji,フィジー
Falkland Is.,フォークランド諸島
France,フランス
Gabon,ガボン
United Kingdom,イギリス,英国
Georgia,ジョージア
Ghana,ガーナ
Guinea,ギニア
Gambia,ガンビア
Guinea-Bissau,ギニアビサウ
Eq. Guinea,赤道ギニア
Greece,ギリシャ
Greenland,グリーンランド
Guatemala,グアテマラ
Guyana,ガイアナ
Honduras,ホンジュラス
Croatia,クロアチア
Haiti,ハイチ
Hungary,ハンガリー
Indonesia,インドネシア
India,インド
Ireland,アイルランド
Iran,イラン
Iraq,イラク
Iceland,アイスランド
Israel,イスラエル
Italy,イタリア
Jamaica,ジャマイカ
Jordan,ヨルダン
Japan,日本
Kazakhstan,カザフスタン
Kenya,ケニア
Kyrgyzstan,クルジスタン
Cambodia,カンボジア
South Korea,韓国
Kosovo,コソボ
Kuwait,クウェート
Laos,ラオス
Lebanon,レバノン
Liberia,リベリア
Libya,リビア
Sri Lanka,スリランカ
Lesotho,レソト
Lithuania,リトアニア
Luxembourg,ルクセンブルク
Latvia,ラトビア
Morocco,モロッコ
Moldova,モルドバ
Madagascar,マダガスカル
Mexico,メキシコ
Macedonia,マケドニア
Mali,マリ
Myanmar,ミャンマー
Montenegro,モンテネグロ
Mongolia,モンゴル
Mozambique,モザンビーク
Mauritania,モーリタニア
Malawi,マラウィ
Malaysia,マレーシア
Namibia,ナミビア
New Caledonia,ニューカレドニア
Niger,ニジェール
Nigeria,ナイジェリア
Nicaragua,ニカラグア
Netherlands,オランダ
Norway,ノルウェー
Nepal,ネパール
New Zealand,ニュージーランド
Oman,オマーン
Pakistan,パキスタン
Panama,パナマ
Peru,ペルー
Philippines,フィリピン
Papua New Guinea,パプアニューギニア
Poland,ポーランド
Puerto Rico,プエルトリコ
North Korea,北朝鮮
Portugal,ポルトガル
Paraguay,パラグアイ
Palestine,パレスチナ
Qatar,カタール
Romania,ルーマニア
Russia,ロシア
Rwanda,ルワンダ
W. Sahara,西サハラ
Saudi Arabia,サウジアラビア
Sudan,スーダン
S. Sudan,南スーダン
Senegal,セネガル
Solomon Is.,ソロモン諸島
Sierra Leone,シエラレオネ
El Salvador,エルサルバドル
Somaliland,ソマリランド
Somalia,ソマリア
Serbia,セルビア
Suriname,スリナム
Slovakia,スロヴァキア,スロバキア
Slovenia,スロベニア
Sweden,スウェーデン
Swaziland,スワジランド
Syria,シリア
Chad,チャド
Togo,トーゴ
Thailand,タイ
Tajikistan,タジキスタン
Turkmenistan,トルクメニスタン
Timor-Leste,東ティモール
Trinidad and Tobago,トリニダード・トバゴ
Tunisia,チュニジア
Turkey,トルコ
Taiwan,台湾
Tanzania,タンザニア
Uganda,ウガンダ
Ukraine,ウクライナ
Uruguay,ウルグアイ
United States of America,アメリカ合衆国,米国,アメリカ
Uzbekistan,ウズベキスタン
Venezuela,ベネズエラ
Vietnam,ベトナム
Vanuatu,バヌアツ
Yemen,イエメン
South Africa,南アフリカ共和国,南アフリカ
Zambia,ザンビア
Zimbabwe,ジンバブエ